Disclaimer: Although Stormwater Services makes every effort to ensure data quality in the monitoring program, errors do arise and may not be identified at the time the data was uploaded to this database.  The City of Durham does not assume any liability associated with the use of these data and is not obligated to notify parties of modifications or changes to the database.

Query Results: 
Name:EL10.7EC-EL1.9EC-EL5.0EC-EL5.5GC-EL5.6EC-EL7.1EC-EL7.1SEC-EL7.6SECT-EL7.9EC-EL8.1GC-EL8.2EC-EL8.5SEC-EL8.6SECUT-EL9.9EC-EL-Englewood-EL-Knox 
Medium:Water
Parameters: all 
Project: Ambient
Time Period:2016-05-02 ~ 2022-05-02
Data was downloaded on May 23 2022 11:41 am
The data contains the QA code. 
For Help with QA code, please check http://www.durhamwaterquality.org/QAcode.php

Station Name,Filtered,Parameter,Date/Time,Value,QA Code,Unit,QAQC Sample,Comments,Rain in Last 24 Hours,Sky Condition,Flow Severity,Comp  Code,Thalweg,Lab,Project
"EL8.5SEC","","Aluminum","2016-12-08 09:00:00","62","","ug/L","","Staff Gage:  0.67","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL10.7EC","","Ammonia Nitrogen","2017-01-11 09:20:00","0.23","","mg/L","","Duplicate Site; High conductivity due to ice treatment for snow storm Duplicate","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL10.7EC","","Ammonia Nitrogen","2017-01-11 09:20:00","0.21","","mg/L","","Duplicate Site; High conductivity due to ice treatment for snow storm Duplicate","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL10.7EC","","Ammonia Nitrogen","2017-02-15 09:00:00","0.46","","mg/L",""," ","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL10.7EC","","Ammonia Nitrogen","2017-03-15 08:50:00","0.04","U","mg/L",""," ","Yes","Sunny","2","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2016-05-10 09:05:00","0.12","","mg/L",""," ","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2016-06-14 09:15:00","0.05","","mg/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2016-07-12 09:25:00","0.06","","mg/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2016-08-09 09:15:00","0.09","","mg/L",""," ","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2016-09-13 09:30:00","0.05","","mg/L",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2016-10-11 09:15:00","0.12","","mg/L","","Duplicate Site; bank erosion from hurricane matthew Duplicate","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2016-10-11 09:15:00","0.11","","mg/L","","Duplicate Site; bank erosion from hurricane matthew Duplicate","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2016-11-08 09:35:00","0.05","","mg/L",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2016-12-06 09:30:00","0.04","U","mg/L","","Raining","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2017-01-19 10:30:00","0.08","","mg/L",""," ","Yes","Sunny","2","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2017-02-14 10:15:00","0.04","U","mg/L",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2017-03-14 10:05:00","0.07","","mg/L",""," ","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2017-04-11 09:34:00","0.07","","mg/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2017-05-16 09:40:00","0.09","","mg/L","","Duplicate Site, merky water Duplicate","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2017-05-16 09:40:00","0.08","","mg/L","","Duplicate Site, merky water Duplicate","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2017-06-13 09:00:00","0.04","U","mg/L",""," ","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2017-07-11 09:50:00","0.05","","mg/L",""," ","Yes","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2017-08-15 09:40:00","0.13","J7","mg/L",""," ","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2017-09-12 10:00:00","0.06","","mg/L",""," ","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2017-10-10 10:00:00","0.04","U","mg/L",""," ","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2017-11-07 10:05:00","0.04","U","mg/L",""," ","No","Overcast","2","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2017-12-05 10:20:00","0.04","U","mg/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2018-01-02 09:45:00","0.04","U","mg/L",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2018-02-06 09:55:00","0.05","","mg/L","","Duplicate Site Duplicate","Yes","Sunny","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2018-02-06 09:55:00","0.03","U","mg/L","","Duplicate Site Duplicate","Yes","Sunny","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2018-03-06 09:10:00","0.04","U","mg/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2018-04-03 09:45:00","0.89","","mg/L","","SSO upstream","","","","","","","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2018-05-01 08:45:00","0.09","","mg/L","","NDWRF dewatering from construction area on 4/30","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2018-06-05 09:15:00","0.062","","mg/L","","merky water and strong sewage odor","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2018-07-10 08:50:00","0.13","","mg/L",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2018-08-07 09:35:00","0.06","","mg/L",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2018-09-04 09:40:00","0.04","U","mg/L",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2018-10-02 09:20:00","0.17","","mg/L","","Very high water could not reach thalwag","No","Partly Cloudy","4","G","No","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2018-11-06 08:55:00","0.04","U","mg/L",""," ","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2018-12-04 10:00:00","0.04","J","mg/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2019-01-08 09:50:00","0.11","","mg/L",""," ","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2019-02-05 09:10:00","0.13","","mg/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2019-03-05 09:30:00","0.68","","mg/L","","Duplicate Site Duplicate","Yes","Overcast","3","G","No","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2019-03-05 09:30:00","0.74","","mg/L","","Duplicate Site Duplicate","Yes","Overcast","3","G","No","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2019-04-02 09:20:00","0.04","U","mg/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2019-05-07 09:00:00","0.14","","mg/L",""," ","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2019-06-05 09:10:00","0.06","","mg/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2019-07-09 09:00:00","0.06","","mg/L",""," ","Yes","Overcast","3","G","No","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2019-08-06 09:00:00","0.04","U","mg/L",""," ","Yes","Overcast","3","G","No","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2019-09-03 09:30:00","0.04","J","mg/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2019-10-01 09:30:00","0.04","U","mg/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2019-11-05 09:15:00","0.06","","mg/L","","Duplicate Site Duplicate","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2019-11-05 09:15:00","0.05","","mg/L","","Duplicate Site Duplicate","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2019-12-03 09:05:00","0.04","U","mg/L","","Organic foam on water surfaace","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2020-01-07 09:15:00","0.05","","mg/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2020-02-04 09:15:00","0.04","U","mg/L",""," ","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2020-03-03 09:20:00","0.04","J","mg/L","","Duplicate","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2020-03-03 09:20:00","0.04","U","mg/L","","Duplicate","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2020-05-12 08:15:00","0.04","U","mg/L","","Due to COVID-19 safety constraints, only the Nutrient Loading sites were sampled in May 2020","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2020-06-09 08:45:00","0.06","","mg/L",""," ","","","","","","","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2020-07-07 08:50:00","0.07","","mg/L",""," ","Yes","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2020-08-04 08:50:00","0.38","","mg/L","","Heavy rains overnight from hurricane.","Yes","Partly Cloudy","4","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2020-09-01 09:15:00","0.71","","mg/L",""," ","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2020-10-06 09:15:00","0.04","U,J2","mg/L",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2020-11-03 08:55:00","0.04","U,J2","mg/L","","Duplicate Site Duplicate","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2020-11-03 08:55:00","0.04","J,J2","mg/L","","Duplicate Site Duplicate","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2020-12-01 08:40:00","0.23","","mg/L",""," ","Yes","Sunny","3","G","No","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2021-01-05 09:20:00","1.5","J7","mg/L",""," ","No","Overcast","3","G","No","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2021-04-06 09:10:00","0.04","J,J2","mg/L","","Duplicate Site Duplicate","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2021-04-06 09:10:00","0.06","J2","mg/L","","Duplicate Site Duplicate","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2021-05-04 09:00:00","3.24","","mg/L",""," ","Yes","Sunny","3","G","No","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2021-06-01 08:55:00","0.08","","mg/L",""," ","No","Sunny","3","G","No","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2021-07-06 09:00:00","0.04","U","mg/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2021-08-03 08:55:00","0.17","","mg/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2021-09-07 09:05:00","0.05","","mg/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2021-10-12 09:45:00","0.04","U","mg/L",""," ","No","Overcast","2","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2021-11-02 09:05:00","0.04","U","mg/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2021-12-07 09:25:00","0.04","U","mg/L","","Duplicate Site Duplicate","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2021-12-07 09:25:00","0.04","U","mg/L","","Duplicate Site Duplicate","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2022-01-04 09:00:00","0.23","","mg/L","","Winter storm over the weekend","No","Sunny","4","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2022-02-01 09:15:00","0.04","U","mg/L","","Winter storm over the weekend","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2022-03-01 09:15:00","0.05","","mg/L","","Duplicate Site Duplicate","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL1.9EC","","Ammonia Nitrogen","2022-03-01 09:15:00","0.04","J","mg/L","","Duplicate Site Duplicate","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2017-01-19 10:05:00","0.06","","mg/L","","Staff Gage: 4.06","Yes","Sunny","2","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2017-02-14 09:55:00","0.04","U","mg/L","","Staff Gage: 4.80'","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2017-03-14 09:45:00","0.06","","mg/L",""," ","Yes","Overcast","4","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2017-04-11 09:15:00","0.17","","mg/L","","Duplicate Site, Staff Gage: 3.98' Duplicate","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2017-04-11 09:15:00","0.16","","mg/L","","Duplicate Site, Staff Gage: 3.98' Duplicate","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2017-05-16 09:05:00","0.07","","mg/L","","Staff Gage: 4.40'","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2017-06-13 08:20:00","0.04","U","mg/L","","Staff Gage: 3.86'","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2017-07-11 09:25:00","0.06","","mg/L","","Staff Gage: 3.96'","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2017-08-15 09:20:00","0.11","J7","mg/L","","Staff Gage: 3.90'","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2017-09-12 09:40:00","0.04","J","mg/L","","Staff Gage: 3.89'","Yes","Overcast","1","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2017-10-10 09:40:00","0.04","U","mg/L","","Staff Gage: 3.81'","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2017-11-07 09:45:00","0.04","U","mg/L","","Staff Gage: 3.88'","No","Overcast","2","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2017-12-05 09:55:00","0.04","U","mg/L","","Staff Gage: 3.93'","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2019-01-08 10:10:00","1.22","","mg/L",""," ","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2019-02-05 09:35:00","1.53","","mg/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2019-03-05 10:05:00","0.05","","mg/L",""," ","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2019-04-02 09:55:00","0.04","J","mg/L","","Duplicate Site; light drizzle, lots of algae growth Duplicate","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2019-04-02 09:55:00","0.04","U","mg/L","","Duplicate Site; light drizzle, lots of algae growth Duplicate","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2019-05-07 09:20:00","0.15","","mg/L",""," ","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2019-06-05 09:30:00","0.17","","mg/L",""," ","No","Overcast","2","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2019-07-09 09:25:00","0.1","","mg/L",""," ","Yes","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2019-08-06 09:15:00","0.04","U","mg/L",""," ","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2019-09-03 09:50:00","0.05","","mg/L","","Murky water","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2019-10-01 09:50:00","0.04","U","mg/L",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2019-11-05 09:35:00","0.04","J","mg/L",""," ","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2019-12-03 09:50:00","0.04","J","mg/L","","Duplicate Site Duplicate","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2019-12-03 09:50:00","0.04","U","mg/L","","Duplicate Site Duplicate","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2021-04-06 08:40:00","0.06","J2","mg/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2021-05-04 08:40:00","0.11","","mg/L",""," ","Yes","Sunny","3","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2021-06-01 08:35:00","0.12","","mg/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2021-07-06 08:40:00","0.04","U","mg/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2021-08-03 08:40:00","0.05","","mg/L",""," ","No","Overcast","3","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2021-09-07 08:45:00","0.05","","mg/L",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2021-10-12 09:25:00","0.11","","mg/L",""," ","No","Overcast","2","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2021-11-02 08:40:00","0.05","","mg/L","","Duplicate Site Duplicate","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2021-11-02 08:40:00","0.06","","mg/L","","Duplicate Site Duplicate","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL5.5GC","","Ammonia Nitrogen","2021-12-07 08:40:00","0.04","U","mg/L","","unidentified odor, dark colored water with black flocculant","No","Partly Cloudy","3","G","Yes","SDWRF","Ambient",
"EL5.6EC","","Ammonia Nitrogen","2017-01-19 09:50:00","0.05","","mg/L",""," ","Yes","Sunny","2","G","Yes","SDWRF","Ambient",
"EL5.6EC","","Ammonia Nitrogen","2017-02-14 09:35:00","0.04","U","mg/L",""," ","No","Sunny","3","G","Yes","SDWRF","Ambient",
"EL5.6EC","","Ammonia Nitrogen","2017-03-14 09:30:00","0.06","","mg/L","","Duplicate Site Duplicate","Yes","Overcast","4","G","Yes","SDWRF","Ambient",
"EL5.6EC","","Ammonia Nitrogen","2017-03-14 09:30:00","0.06","","mg/L","","Duplicate Site Duplicate","Yes","Overcast","4","G","Yes","SDWRF","Ambient",
"EL5.6EC","","Ammonia Nitrogen","2017-04-11 08:55:00","0.21","","mg/L",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL5.6EC","","Ammonia Nitrogen","2017-05-16 08:45:00","0.08","","mg/L",""," ","No","Sunny","2","G","Yes","SDWRF","Ambient",
"EL5.6EC","","Ammonia Nitrogen","2017-06-13 08:10:00","0.04","J","mg/L",""," ","No","Partly Cloudy","2","G","Yes","SDWRF","Ambient",
"EL5.6EC","","Ammonia Nitrogen","2017-07-11 09:05:00","0.1","","mg/L",""," ","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL5.6EC","","Ammonia Nitrogen","2017-08-15 08:55:00","0.18","J7","mg/L",""," ","Yes","Overcast","3","G","Yes","SDWRF","Ambient",
"EL5.6EC","","Ammonia Nitrogen","2017-09-12 09:23:00","0.06","","mg/L",""," ","Yes","Overcast","2","G","Yes","SDWRF","Ambient",
