SubBasin,Type,Cl,SO4,NO3.N,Na,K,Mg,Ca,Ammonia,Phosphate,Temp,Pressure,DO,Conductance,pH,DOC,TDN,Bare,Cultivated,Developed,Forrest,Grass,Impervious,Schrub,Water,Wetland,RoadDensity,PipeDensity,Asian,Black,Hispanic,White,Latitude,Longitude
10,Main,7.08731308,8.85284327,0.26316528,8.08050411,2.55166736,3.98798662,14.52100637,0.0157,0.0377,18.1,755.4,8.24,142.4,7.38,5.255,0.5599,0,0.8,85.4,12.6,0.4,23.8,0.3,0.4,0.1,7.655288259,5.973350316,2.32,24.25,12.21,61.22,36.0272302,-78.9010821
11,Main,7.01583678,9.13493222,0.26196908,7.94533336,2.56869976,3.95693064,14.5284101,0.0171,0.0365,18.3,755.1,8.07,142,7.29,5.318,0.5456,0,0.7,85,12.9,0.5,23.8,0.3,0.4,0.2,8.107257561,5.361408159,1.11,46.59,16.55,35.74,36.025676,-78.900456
12,Main,6.66166442,9.02091305,0.27297412,7.61409388,2.76031426,3.50704788,13.13818067,0.0124,0.038,17.7,756.1,8.13,130.5,7.35,6.195,0.6365,0,0.7,85.7,12.3,0.4,23.1,0.2,0.4,0.2,12.4852471,3.124233373,0.7,31.42,13.46,54.42,36.018987,-78.894523
13,Trib,17.01493354,24.48569999,0.73147758,17.20552573,3.67112185,6.56374558,27.1195277,0.0148,0.0592,16.2,756,5.87,275.4,7.19,5.337,0.9457,0,0,99.8,0.2,0,35.9,0,0,0,14.76817155,4.566014438,3.24,5.9,6.4,84.43,36.016528,-78.899396
14,Stormwater,20.75416512,28.95335771,0.61867592,22.05886708,3.16994348,8.01754292,29.199737,0.001,0.0725,17.3,755.1,5.08,360.6,7.07,3.482,0.7543,0,0,100,0,0,48.1,0,0,0,16.08221154,13.48865741,3.24,11.76,4.12,80.88,36.008963,-78.903236
15,Trib,23.7873859,21.18427295,0.2860127,18.59251991,2.70495896,7.94444984,34.5638588,0.0836,0.0103,16.8,755.9,0.45,356.9,6.41,7.311,0.6018,0,0.4,90.7,7.9,0.3,27,0.2,0.2,0.3,17.82206074,6.315820288,1.43,32.23,8.75,57.59,36.015189,-78.887945
16,Main,7.279278,11.13283214,0.37405302,9.57478118,3.15887242,4.13382962,18.0893654,0.0527,0.0244,17.4,756.4,5.66,172.9,6.92,7.059,0.791,0.6,0.6,88.2,8.5,0.4,25.9,0.2,0.2,1.3,8.688652105,4.787637354,1.04,51.17,13.12,34.68,36.0219,-78.870584
17,Trib,2.49940984,12.70621778,0.09127134,4.10591492,2.62107439,2.4345013,10.21322966,0.14,0.0168,16,756.1,3.08,92.1,6.79,6.998,0.5589,0,0,86.8,12,1.2,13.5,0,0,0,8.750115809,3.03992505,0.74,65.19,12.52,21.55,36.024281,-78.87544
18,Trib,11.48733576,34.35131717,0.31627656,22.90347084,2.39113699,2.95198658,12.64714619,0.0967,0.326,22.9,755.4,7.22,191.3,7.51,2.004,0.5957,0,0,100,0,0,40.1,0,0,0,15.53634011,11.00827184,0.38,79.57,13.29,6.73,35.994265,-78.884225
19,Trib,11.5182602,34.29923921,0.28673042,21.87617314,2.81865023,2.87734928,16.23293981,0.0745,0.228,18.3,755.7,7.06,201.9,7.47,2.62,0.5067,0,0,100,0,0,38.4,0,0,0,15.90214854,6.319865395,1.12,60.38,13.94,24.46,36.004314,-78.880523
20,Trib,21.91995816,16.43847158,0.20670464,23.64477569,4.19401653,4.21773224,21.8604911,0.879,0.0717,16.5,756,5.61,248.8,7.17,7.233,1.468,0,0,98.6,1.4,0,28.2,0,0,0,14.13174358,5.550008525,0.75,77.54,18.15,3.46,36.002352,-78.872668
21,Trib,16.75003362,10.8771767,0.08253908,49.00167011,8.3103218,6.1037396,27.81643364,3.24,0.294,16.5,756.2,3.25,386.5,7.4,18.67,3.955,0,0,76.6,22.5,0.4,23.8,0,0,0.5,14.29879298,4.027461756,0.78,69.31,21.08,8.73,36.01144,-78.867661
22,Trib,8.58452276,11.44845614,0.28505574,11.78304438,3.53741751,3.71980708,20.36995307,0.153,0.0408,16.6,756.2,4.1,172,7.1,7.148,0.765,0,0,98.5,1.3,0,28.5,0,0,0.2,12.2202339,5.012320956,0.39,72.24,24.83,2.36,36.008527,-78.869536
23,Trib,11.64575058,36.18075278,0.29869242,19.54127629,3.71625771,3.4476812,23.66389643,0.0378,0.124,16.7,756.2,8.66,232.3,7.55,3.554,0.5033,0,0,93.9,4.6,0.1,36.6,0,0,1.4,9.099685797,4.011709938,0.26,52.89,13.95,32.89,36.012053,-78.873682
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,62.29,8.66,28.77,NA,NA
25,Trib,3.63136104,8.41846574,0.07500302,5.43058827,2.89657346,2.56473052,13.13077694,0.0181,0.0273,16.7,756,2.3,106.3,6.97,10.2,0.4886,0,0,66.9,14.2,3.8,15.6,15.1,0,0,9.521119352,2.854893228,0.75,62.48,12.71,24.07,36.01764,-78.85384
26,Trib,5.22046882,9.54563795,0.25933744,9.2350046,3.25467967,2.38954734,14.91316523,0.0528,0.0539,18,756.3,6.68,132.3,7.24,7.33,0.6581,0,0,91,7.1,0.2,30.1,0,0,1.8,7.476282478,2.76133003,0.46,82.76,9.56,7.22,36.024184,-78.860629
27,Main,7.4207719,9.70344995,0.3344588,9.84996037,3.28491218,3.7608147,15.22077827,0.0562,0.038,20.5,754.5,8.42,159.2,7.33,6.898,0.7361,0.4,0.5,85.6,9.3,0.8,25.9,1.5,0.2,1.8,12.23723736,2.473400523,0,64.91,14.04,21.05,36.0284081,-78.864705
27,Effluent,47.60153862,57.2737661,0.27967284,54.55915,13.0872797,4.45279684,18.3711848,0.0156,0.0626,25.1,754.1,7.73,44.74,6.94,6.371,0.8571,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.23723736,2.473400523,0,64.91,14.04,21.05,36.0303904,-78.8620255
28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,53.37,22.47,24.16,NA,NA
29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,70.8,7.55,21.11,NA,NA
30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,61.56,10.51,25.83,NA,NA
31,Main,38.86275866,48.18708974,0.27177792,47.00114301,10.98100212,4.36185944,18.21403466,0.02,0.0638,22.8,754.5,8.11,384.6,7.4,6.679,0.812,0.3,1.9,74.6,15.4,2,21.8,1.9,0.2,3.8,4.637433553,0.556574404,0.71,56.43,16.07,26.79,36.0596046,-78.8326771
32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.72,54.31,18.1,25.86,NA,NA
33,Main,38.89018222,47.28361604,0.30204178,47.14200516,10.75915511,4.39531754,18.28401185,0.0262,0.0658,21.5,754.3,7.95,383.9,7.46,6.463,0.8402,0.3,2.8,68.7,19.1,2.7,20,1.9,0.2,4.3,5.405310627,0,0,48.86,9.09,42.05,36.059845,-78.8173757
