"","Station","Date","WQI","Copper.CCC","Zinc.CCC","Fecal.Coliform.cfu.100mL.","Dissolved.Oxygen.mg.L.","Nitrate...Nitrite.as.N.mg.L.","Copper.ug.L.","Biochemical.Oxygen.Demand.mg.L.","Turbidity.NTU.","Total.Kjeldahl.Nitrogen.mg.L.","Zinc.ug.L.","Total.Phosphorus.mg.L.","Hardness.mg.L."
"25","EL1.9EC","2006-01-10","87","5.79",76.63,63,9.85,1.9,2.5,1,5.8,0.25,37,0.14,60
"26","EL1.9EC","2006-02-07","78","6.60",87.33,246,9.64,1.8,2.5,1,11,0.6,25,0.08,70
"27","EL1.9EC","2006-03-14","92","7.40",97.79,50,7.72,0.7,2.5,1,3.15,0.25,14,0.09,80
"28","EL1.9EC","2006-04-04","81","8.18",108.05,540,7.4,1.2,2.5,1,9.72,0.25,51,0.07,90
"29","EL1.9EC","2006-05-16","","6.60",87.33,800,8.03,1.8,5,1,24.6,0.7,NA,0.06,70
"30","EL1.9EC","2006-06-13","71","4.95",65.66,920,6.99,1.5,2.5,2,27.7,2,5,0.07,50
"31","EL1.9EC","2006-07-18","80","5.79",76.63,480,5.96,1.2,2.5,1,6.71,0.25,23,0.06,60
"32","EL1.9EC","2006-08-08","52","4.95",65.66,4200,4.8,2.2,2.5,2,26.3,0.6,15,0.08,50
"33","EL1.9EC","2006-09-12","78","5.79",76.63,262,7.04,2.6,2.5,1,2.95,0.5,5,0.07,60
"34","EL1.9EC","2006-10-10","77","5.79",76.63,295,7,4,2.5,1,3.67,0.6,20,0.05,60
"35","EL1.9EC","2006-11-07","90","5.79",76.63,53,8.44,6,2.5,2,3.17,0.5,50,0.06,60
"36","EL1.9EC","2006-12-06","","6.60",87.33,246,8.89,6.6,2.5,1,10.8,0.5,NA,0.08,70
"37","EL1.9EC","2007-01-09","","4.95",65.66,420,9.84,1.9,2.5,1,31.4,0.6,NA,0.08,50
"38","EL1.9EC","2007-02-06","","",NA,NA,11.33,NA,NA,NA,4.17,NA,NA,NA,NA
"39","EL1.9EC","2007-03-20","","7.40",97.79,540,9.93,3.7,2.5,1,10.3,0.25,NA,0.11,80
"40","EL1.9EC","2007-05-15","","5.79",76.63,580,7.41,5.5,2.5,2,13.1,1.7,NA,0.06,60
"41","EL1.9EC","2007-06-26","74","4.95",65.66,600,6.43,3.8,2.5,1,5.66,0.5,38,0.09,50
"42","EL1.9EC","2007-07-10","","5.79",76.63,130,6.01,2.6,2.5,1,3.3,0.8,NA,0.08,60
"43","EL1.9EC","2007-08-07","","4.95",65.66,180,6.24,4.8,2.5,2,4.17,0.7,NA,0.08,50
"44","EL1.9EC","2007-09-26","","5.79",76.63,520,6.34,3.8,2.5,1,13.2,0.25,NA,0.09,60
"45","EL1.9EC","2007-10-16","","5.79",76.63,360,7.45,4.2,2.5,1,1.67,0.6,NA,0.09,60
"46","EL1.9EC","2007-11-06","","6.60",87.33,82,7.89,3.7,2.5,1,5,0.6,NA,0.06,70
"47","EL1.9EC","2007-12-05","","6.60",87.33,192,9.88,3.8,2.5,1,1.91,0.6,NA,0.09,70
"48","EL1.9EC","2008-01-15","","6.60",87.33,33,10.04,3.9,2.5,1,2.39,0.7,NA,0.09,70
"49","EL1.9EC","2008-02-12","87","7.40",97.79,63,8.42,7.4,2.5,1,1.98,0.5,56,0.11,80
"50","EL1.9EC","2008-03-13","","6.60",87.33,980,9.29,1.8,2.5,1,8.53,0.7,NA,0.11,70
"51","EL1.9EC","2008-04-08","","6.60",87.33,162,8.42,3.3,2.5,1,15.3,0.3,NA,0.02,70
"52","EL1.9EC","2008-05-06","","7.40",97.79,200,7.9,4.2,2.5,1,4.92,0.8,NA,0.02,80
"53","EL1.9EC","2008-06-10","87","5.79",76.63,144,6.05,3.7,2.5,1,6.83,1.2,17,0.02,60
"54","EL1.9EC","2008-07-17","74","6.60",87.33,580,6.9,3.6,2.5,1,5.44,0.7,17,0.12,70
"55","EL1.9EC","2008-08-12","69","4.95",65.66,1140,6.56,2.2,2.5,1,5.8,1.1,18,0.24,50
"56","EL1.9EC","2008-09-09","69","4.09",54.35,1000,6.36,2.7,2.5,1,11.5,0.8,5,0.2,40
"57","EL1.9EC","2008-10-07","83","6.60",87.33,162,6.89,2.6,2.5,1,3.34,0.5,29,0.19,70
"58","EL1.9EC","2008-11-12","76","6.60",87.33,540,7.91,3.5,2.5,1,2.25,0.4,21,0.1,70
"59","EL1.9EC","2008-12-04","90","5.79",76.63,81,10.07,1.6,2.5,1,7.22,0.15,22,0.09,60
"60","EL1.9EC","2009-01-06","67","6.60",87.33,1636,9.97,1.9,2.5,4,57.9,1.6,11,0.08,70
"61","EL1.9EC","2009-02-10","90","6.60",87.33,45,10.09,7.5,2.5,1,2.49,0.9,39,0.06,70
"62","EL1.9EC","2009-03-17","72","4.95",65.66,3500,10.46,1.5,2.5,2,40.9,0.02,16,0.05,50
"63","EL1.9EC","2009-04-14","88","7.40",97.79,164,8.31,3.7,2.5,1,5.98,2.6,20,0.06,80
"64","EL1.9EC","2009-05-12","70","5.79",76.63,2400,8.11,1.6,2.5,1,5.73,1.2,13,0.05,60
"65","EL1.9EC","2009-06-10","43","3.20",42.59,60000,7.34,0.5,5.3,5,203,0.3,5,0.02,30
"66","EL1.9EC","2009-07-14","55","5.79",76.63,39000,6.72,2.2,2.5,2,10.5,0.6,15,0.08,60
"67","EL1.9EC","2009-08-11","74","5.79",76.63,480,6.04,2,2.5,2,3.12,0.7,19,0.16,60
"68","EL1.9EC","2009-09-15","91","6.60",87.33,87,7.61,2.5,2.5,1,7.76,0.7,27,0.03,70
"69","EL1.9EC","2009-10-13","75","6.60",87.33,1040,7.59,1.4,2.5,1,5.29,0.9,22,0.03,70
"70","EL1.9EC","2009-11-10","80","6.60",87.33,270,7.78,2.1,2.5,1,6.01,0.9,33,0.03,70
"71","EL1.9EC","2009-12-01","","8.18",108.05,490,10.37,1.9,2.5,1,14.7,0.7,NA,0.05,90
"72","EL1.9EC","2010-01-12","","6.60",87.33,54,11.34,5.2,2.5,1,5.21,NA,42,0.06,70
"73","EL1.9EC","2010-02-16","79","8.18",108.05,240,13.13,1,2.5,1,11,2.5,36,0.06,90
"74","EL1.9EC","2010-03-09","87","6.60",87.33,152,11.03,2.3,2.5,2,4.55,1.1,53,0.08,70
"75","EL1.9EC","2010-04-13","98","6.60",87.33,90,8.35,0.05,2.5,1,4.9,0.7,31,0.06,70
"76","EL1.9EC","2010-05-04","","",NA,NA,NA,1.7,0.8,1,NA,1,25,0.08,NA
"77","EL1.9EC","2010-06-15","","5.79",76.63,1091,6.65,0.2,14,2,9.34,NA,31,0.05,60
"78","EL1.9EC","2010-07-13","49","6.60",87.33,23000,5.51,1.2,2.5,6,19.3,1.3,20,0.06,70
"79","EL1.9EC","2010-08-10","74","5.79",76.63,430,6.19,2,2.5,1,3.88,0.8,26,0.98,60
"80","EL1.9EC","2010-09-14","88","4.95",65.66,81,6.88,0.5,2.5,1,2,0.8,27,0.12,50
"81","EL1.9EC","2010-10-12","92","4.95",65.66,81,7.33,0.4,2.5,1,1.59,0.5,35,0.27,50
"82","EL1.9EC","2010-11-09","90","5.79",76.63,114,9.38,1.4,2.5,1,2.69,0.4,27,0.08,60
"83","EL1.9EC","2010-12-07","91","5.37",71.19,180,10.47,0.4,2.5,1,4.41,0.9,26,0.06,55
"84","EL1.9EC","2011-01-18","73","7.00",92.58,33,10.53,6.7,2.5,14,1.49,0.6,54,0.08,75
"85","EL1.9EC","2011-02-15","87","6.60",87.33,45,9.89,4.4,2.5,1,3.07,2.2,56,0.1,70
"86","EL1.9EC","2011-03-15","90","7.00",92.58,33,10.07,3.9,2.5,2,3.79,2.2,33,0.05,75
"87","EL1.9EC","2011-04-12","","6.20",82.01,135,6.72,2.8,2.5,3,7.96,2.7,NA,0.07,65
"88","EL1.9EC","2011-05-11","","7.00",92.58,1300,7.15,1.3,2.5,1,17.9,0.8,NA,0.02,75
"89","EL1.9EC","2011-06-07","87","6.60",87.33,49,7.23,3.8,2.5,1,4.87,0.7,21,0.15,70
"90","EL1.9EC","2011-07-12","","5.37",71.19,460,6.04,4,2.5,1,6.17,1.7,NA,0.15,55
"91","EL1.9EC","2011-08-16","","5.79",76.63,244,5.18,3.9,5,5,4.97,2.3,NA,0.31,60
"92","EL1.9EC","2011-09-13","74","5.79",76.63,360,6.74,4.1,2.5,1,3.81,0.9,11,0.36,60
"93","EL1.9EC","2011-10-11","83","5.79",76.63,125,7.35,3.6,5.2,1,2.22,1,34,0.17,60
"94","EL1.9EC","2011-11-09","87","5.79",76.63,31,9.29,6.5,2.5,1,3.71,0.9,40,0.25,60
"95","EL1.9EC","2011-12-06","","6.60",87.33,82,8.65,4.9,2.5,1,3.05,0.9,NA,0.19,70
"96","EL1.9EC","2012-01-25","","6.60",87.33,66,10.05,3.8,2.5,1,3.89,0.9,NA,0.11,70
"97","EL1.9EC","2012-02-21","77","5.79",76.63,230,10.86,3.7,5.2,2,15.3,1.3,28,0.06,60
"98","EL1.9EC","2012-03-20","","4.09",54.35,26000,7.98,0.8,4.2,12,378,2.1,NA,0.58,40
"99","EL1.9EC","2012-04-17","","6.60",87.33,42,7.33,2.4,3.7,1,7.8,1,NA,0.1,70
"100","EL1.9EC","2012-05-22","","6.60",87.33,126,7.38,2.4,3,2,6.75,0.9,NA,0.12,70
"101","EL1.9EC","2012-06-19","85","6.60",87.33,152,7.27,1.9,4,2,3.37,1,33.9,0.15,70
"102","EL1.9EC","2012-07-17","","5.37",71.19,440,6.34,1.5,6.8,2.4,5.22,1.2,NA,0.15,55
"103","EL1.9EC","2012-08-21","","5.37",71.19,840,6.9,3.1,4.6,1,11.4,1.1,NA,0.07,55
"104","EL1.9EC","2012-09-25","","6.20",82.01,12,7.86,1.9,4.3,1,3.21,0.9,NA,0.08,65
"105","EL1.9EC","2012-10-23","87","5.37",71.19,42,8.12,2.1,2.7,1,1.89,0.7,30,0.19,55
"106","EL1.9EC","2012-11-13","87","6.20",82.01,7,7.17,1.3,3.7,1,1.89,0.83,24.8,0.09,65
"107","EL1.9EC","2012-12-11","","6.20",82.01,10,7.34,0.88,4.1,1,1.2,0.81,NA,0.08,65
"108","EL1.9EC","2013-01-15","87","7.40",97.79,98,9.1,2.2,3.5,1,6.1,0.92,23,0.11,80
"109","EL1.9EC","2013-02-12","85","7.79",102.94,102,9.92,2.3,3.6,1,8.39,1.03,22.2,0.13,85
"110","EL1.9EC","2013-03-12","86","7.00",92.58,58,8.98,1.09,3.2,2.6,8.64,0.82,13.5,0.09,75
"111","EL1.9EC","2013-04-16","76","7.79",102.94,215,7.6,1.55,2.8,1,5.4,0.75,16,0.16,85
"112","EL1.9EC","2013-05-08","74","5.79",76.63,1091,8.42,0.87,3.6,2,26.7,1,10.4,0.13,60
"113","EL1.9EC","2013-06-11","64","5.79",76.63,4500,7.43,0.91,5.5,1,42.5,1.05,7.8,0.79,60
"114","EL1.9EC","2013-07-16","80","7.40",97.79,56,6.71,0.95,2.4,4.2,6.1,1.26,8.6,0.21,80
"115","EL1.9EC","2013-08-06","87","5.79",76.63,56,7.2,1.86,2.6,1,7.5,0.97,8.3,0.14,60
"116","EL1.9EC","2013-09-10","87","6.20",82.01,54,7.11,3.64,1.8,1,1.7,0.88,16.4,0.11,65
"117","EL1.9EC","2013-10-15","90","5.79",76.63,58,7.51,3.92,3.4,1,2.2,0.66,12.9,0.05,60
"118","EL1.9EC","2013-11-12","90","6.20",82.01,89,8.91,2.24,1.9,1,1.4,0.89,17.3,0.05,65
"119","EL1.9EC","2013-12-03","91","5.37",71.19,55,9.51,3.12,2,1,2.47,0.86,15,0.04,55
"120","EL1.9EC","2014-01-14","87","6.03",79.87,47,9.89,3.13,2.8,1,12.3,1.05,15.8,0.09,63
"121","EL1.9EC","2014-02-11","85","3.11",41.39,49,10.43,5.77,4.3,3.5,4.1,0.9,3.2,0.04,29
"122","EL1.9EC","2014-03-11","89","7.16",94.67,92,10.03,2.06,3.3,1,10.7,0.61,23.8,0.07,77
"123","EL1.9EC","2014-04-15","47","6.60",87.33,1140,7.66,2.02,4.6,10,176,1.71,9.5,0.57,70
"124","EL1.9EC","2014-05-13","87","7.40",97.79,21,7.3,3.07,4,2,5.35,0.93,27.1,0.09,80
"125","EL1.9EC","2014-06-17","86","6.12",80.94,112,6.49,0.6,6,1,16.6,0.74,12.8,0.08,64
"126","EL1.9EC","2014-07-08","75","5.54",73.37,232,6.34,0.93,5.4,1,2.36,0.94,22.7,0.11,57
"127","EL1.9EC","2014-08-12","57","5.95",78.79,38000,7.07,0.68,5.4,2,28.9,0.42,11.4,0.1,62
"128","EL1.9EC","2014-09-09","53","4.53",60.06,21000,7.27,0.91,5.6,2,33.1,0.57,9.9,0.12,45
"129","EL1.9EC","2014-10-14","","5.46",72.28,159,6.58,0.73,3.5,1,1.88,0.64,25,NA,56
"130","EL1.9EC","2014-11-11","","5.46",72.28,123,8.13,0.98,2.5,1,1.2,0.74,27,NA,56
"131","EL1.9EC","2014-12-03","79","7.24",95.71,433,9.31,2.57,2.7,1,3.84,0.8,20.7,0.05,78
"132","EL1.9EC","2015-01-13","61","4.35",57.79,3900,11.33,1.15,5.1,2.1,40,0.96,13.7,0.11,43
"133","EL1.9EC","2015-02-10","47","3.47",46.18,4500,10.84,0.6,4.8,4.6,109,1.36,10,0.25,33
"134","EL1.9EC","2015-03-10","88","6.03",79.87,132,9.99,2.02,3.7,1,9.6,1.08,22.4,0.05,63
"135","EL1.9EC","2015-04-14","79","5.46",72.28,533,7.29,1.51,3.1,1,6.2,0.93,22.4,0.06,56
"136","EL1.9EC","2015-05-12","71","7.04",93.11,1968,7.76,1.96,3.55,1,3.71,0.71,23.9,0.1,75.5
"137","EL1.9EC","2015-06-09","33","6.20",82.01,60000,5.99,0.67,4.7,11,98.2,1.4,11.1,0.3,65
"138","EL1.9EC","2015-07-14","56","5.62",74.46,29000,6.23,0.68,3.2,1,7.1,0.94,16.4,0.09,58
"139","EL1.9EC","2015-08-11","70","5.54",73.37,1080,5.93,3.65,2.7,4,2.7,1.09,22.3,0.08,57
"140","EL1.9EC","2015-09-15","74","5.29",70.09,1091,7.43,1,2.5,1,1.95,0.83,14.8,0.09,54
"141","EL1.9EC","2015-10-13","78","5.29",70.09,980,7.49,0.68,2.2,1,2.02,0.81,15.2,0.03,54
"142","EL1.9EC","2015-11-10","56","4.27",56.65,5300,9.03,0.48,9.3,2,82,1.1,13.3,0.29,42
"143","EL1.9EC","2015-12-01","69","4.27",56.65,1545,9.95,0.78,4.8,3,33,0.85,10.4,0.09,42
"144","EL1.9EC","2016-01-12","78","6.36",84.14,270,10.77,0.88,2.5,1,8.87,1.23,22.3,0.07,67
"145","EL1.9EC","2016-02-09","89","7.44",98.3,193.5,10.06,1.9,3.85,1,6.79,0.87,28.85,0.04,80.5
"146","EL1.9EC","2016-03-15","37","4.18",55.5,30000,8.35,0.48,7.8,1,178,1.85,31,0.28,41
"147","EL1.9EC","2016-04-12","70","7.32",96.75,1040,8.08,1.43,4.6,3.5,31.2,1.3,28.9,0.18,79
"148","EL1.9EC","2016-05-10","70","7.87",103.97,4200,7.57,1.15,3.8,1,9.77,0.43,24.2,0.12,86
"149","EL1.9EC","2016-06-14","82","6.44",85.21,720,7.05,0.82,2.9,1,3.97,0.69,17.5,0.06,68
"150","EL1.9EC","2016-07-12","69","7.00",92.58,818,6.67,1.58,3,1,9.35,1.02,22.8,0.11,75
"151","EL1.9EC","2016-08-09","74","6.12",80.94,480,6.63,2.24,3.4,1,8.75,0.89,22.7,0.09,64
"152","EL1.9EC","2016-09-13","74","5.87",77.71,260,6.27,1.06,2.3,1,3.66,0.98,16.6,0.28,61
"153","EL1.9EC","2016-10-11","76","5.95",78.79,472.5,8,1.85,3.55,1,15.2,1.3,10.45,0.31,62
"154","EL1.9EC","2016-11-08","93","5.87",77.71,95,7.61,0.8,2.6,1,1.58,0.87,23.2,0.06,61
"155","EL1.9EC","2016-12-06","78","4.95",65.66,580,7.62,1.55,3.2,1,5.61,0.75,22.1,0.08,50
"156","EL1.9EC","2017-01-19","91","7.08",93.63,84,9.37,1.2,3,1,3.84,0.87,34.4,0.04,76
"157","EL1.9EC","2017-02-14","93","6.44",85.21,84,9.8,0.99,3,1,3.02,0.86,28.4,0.05,68
"158","EL1.9EC","2017-03-14","64","3.65",48.54,3300,10.9,0.7,3.9,4,47,0.67,11.8,0.17,35
"159","EL1.9EC","2017-04-11","78","6.60",87.33,350,7.6,1.22,3.1,1,3.9,0.96,24.8,0.07,70
"160","EL1.9EC","2017-05-16","71","6.72",88.91,1200,7.6,3.72,4.15,1,15,1.42,14.65,0.11,71.5
"161","EL1.9EC","2017-06-13","79","6.20",82.01,610,6.8,0.63,3.1,1,3.2,0.87,22.1,0.07,65
"162","EL1.9EC","2017-07-11","65","5.62",74.46,2800,6.6,1.61,4,1,3.2,0.73,15.2,0.15,58
"163","EL1.9EC","2017-08-15","77","5.04",66.78,440,6.3,1.17,3.3,1,5.9,0.61,13.2,0.1,51
"164","EL1.9EC","2017-09-12","78","5.12",67.88,750,6.9,0.4,3.8,1,2.1,0.78,15.7,0.11,52
"165","EL1.9EC","2017-10-10","74","4.87",64.55,800,6,0.5,3.5,1,1.5,0.46,19.1,0.15,49
"166","EL1.9EC","2017-11-07","80","4.87",64.55,400,7.4,0.09,2.8,1,5.5,1.1,14.8,0.1,49
"167","EL1.9EC","2017-12-05","88","5.95",78.79,133,8.8,2.12,2.9,1,1.5,0.86,18.2,0.05,62
"168","EL1.9EC","2018-01-02","91","5.87",77.71,19,11.6,2.58,2.9,1,1.8,0.9,15.6,0.03,61
"169","EL1.9EC","2018-02-06","85","5.71",75.55,146,10.1,1.42,4.35,1,14.8,0.77,19.15,0.13,59
"170","EL1.9EC","2018-03-06","91","6.44",85.21,72,9.6,0.24,3.7,1,3.4,0.85,22.8,0.1,68
"171","EL1.9EC","2018-04-03","85","6.84",90.49,132,7.3,0.53,2.6,2,4.5,1.73,28.6,0.17,73
"172","EL1.9EC","2018-05-01","90","6.52",86.27,116,9,0.39,3.2,1,10.8,1.06,18,0.07,69
"173","EL1.9EC","2018-06-05","90","6.76",89.44,31,7.1,0.99,2.9,1,9.1,0.85,15,0.12,72
"174","EL1.9EC","2018-07-10","78","5.54",73.37,540,6.8,0.02,2.9,1,4.4,1.06,13.9,0.09,57
"175","EL1.9EC","2018-08-07","72","5.95",78.79,860,6.5,0.02,3,1,7,1.77,19.1,0.12,62
"176","EL1.9EC","2018-09-04","77","6.20",82.01,453,6.9,0.52,2.7,1,2.7,0.74,13.5,0.15,65
"177","EL1.9EC","2018-10-02","71","6.20",82.01,5545,7.6,0.53,2.3,2,6.5,0.67,15.6,0.12,65
"178","EL1.9EC","2018-11-06","69","5.12",67.88,1235,8.4,1.63,4.5,1,31.5,0.9,11.6,0.15,52
"179","EL1.9EC","2018-12-04","88","6.84",90.49,125,9.4,1.46,3,1,6.9,0.54,11.9,0.06,73
"180","EL1.9EC","2019-01-08","79","7.56",99.85,373,9.6,2.5,2.9,1,7.7,0.83,20.4,0.06,82
"181","EL1.9EC","2019-02-05","91","7.87",103.97,111,9.3,0.94,2.4,1,5.5,0.84,22.3,0.05,86
"182","EL1.9EC","2019-03-05","76","5.87",77.71,510,10.4,1.27,3.55,1,22.3,1.36,16.85,0.1,61
"183","EL1.9EC","2019-04-02","67","8.11",107.03,52,0.2,0.77,3.3,1,4.4,0.79,21.6,0.05,89
"184","EL1.9EC","2019-05-07","79","6.76",89.44,475,6.8,0.83,4.3,1,10,0.48,18.1,0.07,72
"185","EL1.9EC","2019-06-05","77","6.68",88.38,427,6.6,0.55,2.7,1,3.8,0.75,20.5,0.09,71
"186","EL1.9EC","2019-07-09","67","4.78",63.43,2000,6.3,0.62,3.6,3,9.6,0.84,21.6,0.17,48
"187","EL1.9EC","2019-08-06","53","3.83",50.88,31000,6,0.41,3.3,2.6,23.7,1.21,16.2,0.25,37
"188","EL1.9EC","2019-09-03","82","5.71",75.55,467,6.7,0.29,2.4,1,2.7,0.41,23,0.12,59
"189","EL1.9EC","2019-10-01","79","4.87",64.55,440,5.8,0.11,1.9,1,1.6,0.72,29.1,0.16,49
"190","EL1.9EC","2019-11-05","","5.37",71.19,550,8.1,0.4,3.2,1,2.2,NA,31.3,0.5,55
"191","EL1.9EC","2019-12-03","84","5.83",77.17,197,9,1.29,2.6,2.8,10.1,0.75,31,0.09,60.5
"192","EL1.9EC","2020-01-07","83","3.56",47.36,120,9.9,2.3,3.2,1,11.7,0.64,24.7,0.09,34
"193","EL1.9EC","2020-02-04","87","7.40",97.79,81,8.9,1.94,3.7,1,6.5,0.59,27.1,0.11,80
"194","EL1.9EC","2020-03-03","88","7.56",99.85,107.5,9.6,2.24,2.55,1,4.5,0.63,20.1,0.06,82
"195","EL1.9EC","2020-05-12","89","7.35",97.06,120,8.5,0.7,3.8,3.3,2.6,0.72,16,0.08,79.3
"196","EL1.9EC","2020-06-09","","6.76",89.33,115,6.7,1.2,NA,1,2.6,0.67,NA,0.15,71.9
"197","EL1.9EC","2020-07-07","","5.95",78.79,2250,6.6,1.62,NA,1,4.2,0.67,NA,0.11,62
"198","EL1.9EC","2020-08-04","37","3.18",42.35,38000,6.8,0.61,5.58,4,196,0.82,10.19,0.09,29.8
"199","EL1.9EC","2020-09-01","32","4.01",53.2,35000,6.4,0.77,5.37,7.3,77,1.36,12.17,0.72,39
"200","EL1.9EC","2020-10-06","81","2.65",35.26,140,7.9,1.48,3.1,1,2.1,0.74,17.24,0.14,24
"201","EL1.9EC","2020-11-03","","2.31",30.85,660,8.4,1.6,3.04,1,8.1,NA,12.59,0.2,20.5
"202","EL1.9EC","2020-12-01","62","2.17",28.93,2100,8.6,1.45,4.35,1,34.3,0.95,8.63,0.08,19
"203","EL1.9EC","2021-01-05","79","8.87",117.04,320,10.3,2.1,3.15,1,20.9,2.25,16.65,0.06,98.9
"204","EL1.9EC","2021-02-02","72","2.59",34.51,470,10.9,1.61,2.96,1,25.9,0.95,16.04,0.12,23.4
"205","EL1.9EC","2021-03-02","77","3.02",40.18,317,9.5,0.94,2.58,1,16.7,0.88,14.44,0.1,28
"206","EL1.9EC","2021-04-06","92","2.88",38.35,150,8.7,0.17,2.65,1,5.5,0.74,12.02,0.02,26.5
"207","EL1.9EC","2021-05-04","55","3.02",40.18,4500,6,0.88,4.09,4.1,11.3,4.2,18.14,0.64,28
"208","EL1.9EC","2021-06-01","81","2.36",31.49,125,7.4,0.37,3.47,1,13.5,1,26.95,0.19,21
"209","EL1.9EC","2021-07-06","62","5.04",66.78,5600,5.9,0.38,6.18,2.2,15.8,0.87,19.29,0.25,51
"210","EL1.9EC","2021-08-03","77","5.78",76.53,340,5.4,0.81,3.89,1,1.6,1.09,22.15,0.19,59.9
"211","EL1.9EC","2021-09-07","79","5.87",77.71,390,6.7,0.02,3.8,1,1.2,0.93,24.3,0.42,61
"212","EL1.9EC","2021-10-12","","5.71",75.55,800,7.5,0.79,4.6,1,4.8,0.86,NA,0.43,59
"213","EL1.9EC","2021-11-02","79","6.28",83.08,400,7.3,0.59,3.49,1,2.5,0.92,22.7,0.27,66
"214","EL1.9EC","2021-12-07","85","5.54",73.37,141.5,7.9,1.69,3.81,1,1.7,0.97,19.15,0.3,57
"215","EL1.9EC","2022-01-04","","4.27",56.65,4650,10.4,1.51,4.88,2,56,1.14,12,NA,42
"216","EL1.9EC","2022-02-01","","7.72",101.91,50,10.3,0.61,3.82,1,3.7,0.62,24.4,NA,84
"217","EL1.9EC","2022-03-01","","6.40",84.68,122,9.8,0.88,3.33,1,6.4,0.61,21.55,NA,67.5
"218","EL1.9EC","2022-04-05","","7.08",93.63,440,8.6,NA,2.95,1,3.9,0.55,19.54,0.04,76
"219","EL1.9EC","2022-05-03","76","6.44",85.21,1550,6.3,0.34,3.62,1,5.1,0.88,24.05,0.03,68
"220","EL1.9EC","2022-06-07","","7.40",97.79,620,5.9,0.26,3.96,1,3.3,0.91,NA,0.06,80
"221","EL1.9EC","2022-07-05","74","5.79",76.63,1150,5.3,0.19,4.71,1,2.3,0.65,32.9,0.08,60
"222","EL1.9EC","2022-08-02","76","6.49",85.83,1500,5.9,0.27,3.26,1,2.9,0.67,18.8,0.08,68.59
"223","EL1.9EC","2022-08-12","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","EL5.5GC","2004-01-20","","",NA,560,10.04,NA,NA,NA,32.8,NA,NA,NA,NA
